Parcel,Address,Property Class,Property Use,Assessment Area,Current Year Land Value,Current Year Improvement Value,Current Year Total Value,Previous Year Land Value,Previous Year Improvment Value,Previous Year Total Value,Net Taxes,Special Assessment,Other Charges,Total Taxes,Zoning 1,Zoning 2,Zoning 3,Zoning 4,Lot Size Sq Ft,Frontage Street,Frontage Street Feet,Water Frontage,TIF District,School District,Elementary School,Middle School,High School,Ward,State Assembly District,Refuse District,Collection Schedule URL,Home Style,Year Built,Stories,Dwelling Units,Bedrooms,Full Baths,Half Baths,Fireplaces,Central Air,First Floor Living Area,Second Floor Living Area,Third Floor Living Area,Above Third Floor Living Area,Total Living Area,Finished Attic,Finished Basement,Total Basement,Crawl Space,Exterior Wall 1,Exterior Wall 2,Foundation,Roof,Roof Replaced Year,Garage 1,Garage Stalls 1,Garage2,Garage Stalls 2,Driveway,Shared Drive,Legal Description,Other Structure 1,Other Structure 1 Sq Ft,Other Structure 2,Other Structure 2 Sq Ft,Other Structure 3,Other Structure 3 Sq Ft,Other Structure 4,Other Structure 4 Sq Ft,Other Structure 5,Other Structure 5 Sq Ft,Other Structure 6,Other Structure 6 Sq Ft,Additional Buildings,Notation Parcel,Lot,Block
070929104019,4514 Keating Ter,Residential,Single family,57,$93000.00,$229900.00,$322900.00,$90300.00,$223200.00,$313500.00,$7385.91,$0.00,$0.00,$7385.91,SR-C1,,,,9366,Keating Ter,78.11,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1961,2,1,4,1,1,1,true,1215,975,0,0,2190,0,253,1215,0,Aluminum/Vinyl,,Concrete,Asphalt,1995,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 31",Open Porch,161,Deck,413,,0,,0,,0,,0,false,070929104019,0,0
070929104027,4510 Keating Ter,Residential,Single family,57,$93000.00,$244000.00,$337000.00,$90300.00,$236900.00,$327200.00,$7717.81,$0.00,$0.00,$7717.81,SR-C1,,,,9359,Keating Ter,78,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1963,2,1,3,2,1,1,true,1284,988,0,0,2272,0,0,1284,0,Wood,Masonry Facing,Concrete,Asphalt,2006,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 30",Open Porch,152,Patio,256,Pool,512,Deck,836,,0,,0,false,070929104027,0,0
070929104035,4506 Keating Ter,Residential,Single family,57,$93000.00,$235900.00,$328900.00,$90300.00,$209000.00,$299300.00,$7041.90,$0.00,$0.00,$7041.90,SR-C1,,,,9359,Keating Ter,78,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1963,2,1,4,2,1,1,true,1040,1120,0,0,2160,0,240,1040,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,1994,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADDITION TO MIDVALE HE IGHTS, LOT 29",Screen Porch,156,Patio,144,Deck,213,,0,,0,,0,false,070929104035,0,0
070929104043,4502 Keating Ter,Residential,Single family,57,$99600.00,$202800.00,$302400.00,$96700.00,$196900.00,$293600.00,$6903.81,$0.00,$0.00,$6903.81,SR-C1,,,,9839,Keating Ter,82,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1961,2,1,4,2,1,1,true,1172,1120,0,0,2292,0,240,1172,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,1961,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 28",Open Porch,175,Encl Porch,184,Patio,168,,0,,0,,0,false,070929104043,0,0
070929104051,4414 Keating Ter,Residential,Single family,57,$89300.00,$253800.00,$343100.00,$86700.00,$238400.00,$325100.00,$7666.94,$0.00,$0.00,$7666.94,SR-C1,,,,8879,Keating Ter,74,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1961,2,1,4,2,2,3,true,1333,1162,0,0,2495,0,364,1333,0,Wood,,Concrete,Asphalt,2007,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 27",Open Porch,120,Deck,427,,0,,0,,0,,0,false,070929104051,0,0
070929104069,4410 Keating Ter,Residential,Single family,57,$89300.00,$280000.00,$369300.00,$86700.00,$271800.00,$358500.00,$8476.10,$0.00,$0.00,$8476.10,SR-C1,,,,8843,Keating Ter,73.7,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1963,2,1,5,3,2,2,true,1124,1158,0,0,2282,0,483,1124,0,Wood,Masonry Facing,Concrete,Asphalt,2003,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD TO MIDVALE HEIGHTS, LOT 26",Open Porch,70,Deck,297,,0,,0,,0,,0,false,070929104069,0,0
070929104077,4406 Keating Ter,Residential,Single family,57,$89300.00,$256500.00,$345800.00,$86700.00,$227400.00,$314100.00,$7400.45,$0.00,$0.00,$7400.45,SR-C1,,,,8843,Keating Ter,73.7,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1963,2,1,4,3,1,2,true,1197,980,0,0,2177,0,454,1197,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,2005,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADDITION TO MIDVALE HEIGHTS, LOT 25",Open Porch,60,Deck,144,,0,,0,,0,,0,false,070929104077,0,0
070929104085,4402 Keating Ter,Residential,Single family,57,$83200.00,$186800.00,$270000.00,$80800.00,$181300.00,$262100.00,$6272.07,$0.00,$0.00,$6272.07,SR-C1,,,,8748,Keating Ter,73.8,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1962,2,1,3,2,1,2,true,1144,728,0,0,1872,0,304,1144,0,Wood,,Concrete,Asphalt,2007,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD. TO MIDVALE HEIGHT S, LOT 24",Open Porch,70,Pool,288,Deck,150,,0,,0,,0,false,070929104085,0,0
070929104093,4401 Woods End,Residential,Single family,57,$74800.00,$197700.00,$272500.00,$72600.00,$192000.00,$264600.00,$6201.25,$0.00,$0.00,$6201.25,SR-C1,,,,8762,Woods End,72.82,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Modern two story,1962,2,1,5,2,1,1,true,1272,966,0,0,2238,0,282,1048,0,Wood,Masonry Facing,Concrete,Asphalt,2013,Attached,2,,0,Concrete,false,"FRANK PIPER WOODS ADD. TO MIDVALE HEIGHT S, LOT 23",Open Porch,126,,0,,0,,0,,0,,0,false,070929104093,0,0
070929104100,4405 Woods End,Residential,Single family,57,$75600.00,$256900.00,$332500.00,$73400.00,$249400.00,$322800.00,$7611.22,$0.00,$0.00,$7611.22,SR-C1,,,,8843,Woods End,73.7,false,0,Madison,Midvale-Lincoln,Hamilton,West,79,77,10B,http://www.cityofmadison.com/streets/documents/friB.pdf,Split-level,1962,1,1,4,2,1,1,true,1929,0,0,0,1929,0,573,1449,0,Aluminum/Vinyl,Masonry Facing,Concrete,Asphalt,2006,Basement,2,,0,Concrete,false,"FRANK PIPER WOODS ADD. TO MIDVALE HEIGHT S, LOT 22",Deck,313,,0,,0,,0,,0,,0,false,070929104100,0,0
